EAN;DESCRIPCION;UM BULTO
3614225108785;COLOR PERM T 50 CASTANO CLARO KOLESTON X 1UNI     ;12
3614225108792;COLOR PERM T 537 CASTANO SEDUC KOLESTON X 1UNI    ;12
3614225108839;COLOR PERM T 60 RUBIO OSCURO KOLESTON X 1UNI      ;12
3614225108846;COLOR PERM T 61 RUBIO CENIZ OS KOLESTON X 1UNI    ;12
3614225108853;COLOR PERM T 67 CHOCOLATE KOLESTON X 1 UNI        ;12
3614225108877;COLOR PERM T 70 RUBIO MED KOLESTON X 1UNI         ;12
3614225108884;COLOR PERM T 71 RUBIO CEN MED KOLESTON X 1UNI     ;12
3614225108907;COLOR PERM T 73 RUB AVELLANA KOLESTON X 1UNI      ;12
3614225108952;COLOR PERM T 90 RUB EXTRA CL KOLESTON X 1UNI      ;12
3614225108990;COLOR PERM T 5546 ROJO EXOTICO KOLESTON X 1UNI    ;12
3614225109010;COLOR PERM 6646 ROJO CEREZA KOLESTON X 1 UINI     ;12
3614225109058;COLOR PERM T 120 RUBIO CLAR ES KOLESTON X 1UNI    ;12
3614225109065;COLOR PERM T 121 RUB CE CL ES KOLESTON X 1UNI     ;12
3614228298728;COLOR PERMAN CREMA T67 CHOCOLATE SOFTCOLOR X 1UNI ;12
3614228298780;COLOR PERMA CREMA T70 RUBIO MED SOFTCOLOR X 1 UNI ;12
3614228298797;COLOR PERMA CREMA T71 RUBIO CENIZO SOFTCOLORX1UNI ;12
3614228298810;TINTURA PERM T63 CARAMELO DORADO SOFT COLOR X1UNI ;12
3614228298865;COLOR PERMAN CREMA T60 RUBIO OSC SOFTCOLOR X 1UNI ;12
3614228298919;COLOR PERMANEN CREMA T30 CAST OSCSOFTCOLOR X 1UNI ;12
3614229721690;COLOR PERM T10 NEGRO INFINITO KOLESTON X 1 UNI    ;12
3614612356119;MICROFIBRAS CARREFOUR X 10 UNID                   ;2
3615005813622;BOTELLA CARREFOUR HOME VIDRIO CON TAPA 1 LT GSA25 ;20
3616180728220;BATIDOR CON MANGO PP REPOSTERIA GSA25             ;8
3616302076789;COLOR SEMIPERM T10 BLACK EXPRESSO SOFT COLOR X1UNI;12
3616475606325;COLADOR GSA25                                     ;8
3616475606370;PINCEL DE SILCONA REPOSTERIA GSA25                ;8
3616952593780;FRASCO CARREFOUR HOME VIDRIO 1700 ML              ;30
3616957581331;BOTELLA CARREFOUR ACERO 500 ML VARIOS DISENOS     ;12
3616957646955;SARTEN CARREFOUR HOME 18CM CUATRO DIVISIONES      ;24
3616958290621;BOTELLA CARREFOUR 1 LT                            ;3
3616958302089;SET DE UTENSILIOS DE SILICONA 5 PZAS              ;6
3616958503929;SET TAPA SILICONA CARREFOUR HOME X 6 UNI          ;3
3616958522470;FRASCO CARREFOUR HOME VIDRIO SEAGRASS 500 ML      ;30
3616958522487;FRASCO CARREFOUR HOME VIDRIO SEAGRASS 750 ML      ;30
3616958731988;SET DE VAJILLA CARREFOUR HOME 18PCS BAROQUE GLASS ;6
3616958813370;BOTELLA CARREFOUR 2 LTS                           ;14
